Term: us, Frequency: 22
Term: peopl, Frequency: 20
Term: govern, Frequency: 20
Term: right, Frequency: 20
Term: law, Frequency: 18
Term: state, Frequency: 18
Term: power, Frequency: 16
Term: time, Frequency: 12
Term: among, Frequency: 10
Term: declar, Frequency: 10
Term: establish, Frequency: 10
Term: form, Frequency: 8
Term: abolish, Frequency: 8
Term: new, Frequency: 8
Term: coloni, Frequency: 8
Term: assent, Frequency: 8
Term: larg, Frequency: 8
Term: legislatur, Frequency: 8
Term: legisl, Frequency: 8
Term: independ, Frequency: 8
Term: free, Frequency: 8
Term: becom, Frequency: 6
Term: dissolv, Frequency: 6
Term: connect, Frequency: 6
Term: separ, Frequency: 6
Term: natur, Frequency: 6
Term: mankind, Frequency: 6
Term: hold, Frequency: 6
Term: consent, Frequency: 6
Term: alter, Frequency: 6
Term: long, Frequency: 6
Term: suffer, Frequency: 6
Term: usurp, Frequency: 6
Term: absolut, Frequency: 6
Term: repeat, Frequency: 6
Term: world, Frequency: 6
Term: pass, Frequency: 6
Term: suspend, Frequency: 6
Term: without, Frequency: 6
Term: justic, Frequency: 6
Term: offic, Frequency: 6
Term: peac, Frequency: 6
Term: foreign, Frequency: 6
Term: protect, Frequency: 6
Term: sea, Frequency: 6
Term: war, Frequency: 6
Term: act, Frequency: 6
Term: refu, Frequency: 5
Term: refus, Frequency: 5
Term: necessari, Frequency: 4
Term: polit, Frequency: 4
Term: equal, Frequency: 4
Term: men, Frequency: 4
Term: happi, Frequency: 4
Term: secur, Frequency: 4
Term: institut, Frequency: 4
Term: destruct, Frequency: 4
Term: will, Frequency: 4
Term: object, Frequency: 4
Term: provid, Frequency: 4
Term: necess, Frequency: 4
Term: constrain, Frequency: 4
Term: histori, Frequency: 4
Term: great, Frequency: 4
Term: britain, Frequency: 4
Term: injuri, Frequency: 4
Term: tyranni, Frequency: 4
Term: public, Frequency: 4
Term: good, Frequency: 4
Term: unless, Frequency: 4
Term: bodi, Frequency: 4
Term: endeavour, Frequency: 4
Term: obstruct, Frequency: 4
Term: hither, Frequency: 4
Term: condit, Frequency: 4
Term: judg, Frequency: 4
Term: armi, Frequency: 4
Term: render, Frequency: 4
Term: civil, Frequency: 4
Term: jurisdict, Frequency: 4
Term: pretend, Frequency: 4
Term: arm, Frequency: 4
Term: trial, Frequency: 4
Term: inhabit, Frequency: 4
Term: case, Frequency: 4
Term: transport, Frequency: 4
Term: system, Frequency: 4
Term: rule, Frequency: 4
Term: live, Frequency: 4
Term: circumst, Frequency: 4
Term: ag, Frequency: 4
Term: total, Frequency: 4
Term: friend, Frequency: 4
Term: brethren, Frequency: 4
Term: whose, Frequency: 4
Term: everi, Frequency: 4
Term: petit, Frequency: 4
Term: mai, Frequency: 4
Term: tyrant, Frequency: 4
Term: british, Frequency: 4
Term: appeal, Frequency: 4
Term: therefor, Frequency: 4
Term: unit, Frequency: 4
Term: firm, Frequency: 4
Term: cau, Frequency: 3
Term: caus, Frequency: 3
Term: other, Frequency: 3
Term: event, Frequency: 2
Term: human, Frequency: 2
Term: band, Frequency: 2
Term: anoth, Frequency: 2
Term: assum, Frequency: 2
Term: earth, Frequency: 2
Term: station, Frequency: 2
Term: entitl, Frequency: 2
Term: god, Frequency: 2
Term: opinion, Frequency: 2
Term: decent, Frequency: 2
Term: respect, Frequency: 2
Term: requir, Frequency: 2
Term: impel, Frequency: 2
Term: truth, Frequency: 2
Term: evid, Frequency: 2
Term: self, Frequency: 2
Term: creat, Frequency: 2
Term: endow, Frequency: 2
Term: unalien, Frequency: 2
Term: creator, Frequency: 2
Term: certain, Frequency: 2
Term: liberti, Frequency: 2
Term: life, Frequency: 2
Term: pursuit, Frequency: 2
