Term: said, Frequency: 462
Term: alic, Frequency: 402
Term: littl, Frequency: 128
Term: look, Frequency: 106
Term: on, Frequency: 105
Term: like, Frequency: 97
Term: know, Frequency: 92
Term: went, Frequency: 83
Term: thing, Frequency: 80
Term: time, Frequency: 77
Term: go, Frequency: 77
Term: thought, Frequency: 76
Term: queen, Frequency: 76
Term: sai, Frequency: 71
Term: get, Frequency: 68
Term: see, Frequency: 68
Term: think, Frequency: 64
Term: king, Frequency: 64
Term: well, Frequency: 63
Term: turtl, Frequency: 61
Term: now, Frequency: 60
Term: head, Frequency: 60
Term: began, Frequency: 58
Term: wai, Frequency: 57
Term: come, Frequency: 57
Term: hatter, Frequency: 57
Term: mock, Frequency: 56
Term: quit, Frequency: 55
Term: much, Frequency: 54
Term: gryphon, Frequency: 54
Term: rabbit, Frequency: 52
Term: just, Frequency: 52
Term: first, Frequency: 51
Term: cat, Frequency: 50
Term: voic, Frequency: 50
Term: us, Frequency: 49
Term: never, Frequency: 48
Term: make, Frequency: 46
Term: oh, Frequency: 45
Term: got, Frequency: 45
Term: must, Frequency: 44
Term: mous, Frequency: 44
Term: tone, Frequency: 42
Term: turn, Frequency: 42
Term: round, Frequency: 41
Term: duchess, Frequency: 41
Term: seem, Frequency: 40
Term: came, Frequency: 40
Term: back, Frequency: 40
Term: two, Frequency: 40
Term: dormous, Frequency: 40
Term: great, Frequency: 39
Term: white, Frequency: 38
Term: ey, Frequency: 36
Term: hand, Frequency: 36
Term: tell, Frequency: 36
Term: can, Frequency: 35
Term: last, Frequency: 35
Term: march, Frequency: 35
Term: noth, Frequency: 34
Term: put, Frequency: 34
Term: long, Frequency: 34
Term: repli, Frequency: 34
Term: dai, Frequency: 33
Term: larg, Frequency: 33
Term: ask, Frequency: 33
Term: will, Frequency: 33
Term: dear, Frequency: 32
Term: found, Frequency: 32
Term: right, Frequency: 32
Term: door, Frequency: 32
Term: minut, Frequency: 32
Term: moment, Frequency: 31
Term: word, Frequency: 31
Term: begin, Frequency: 31
Term: talk, Frequency: 31
Term: hare, Frequency: 31
Term: made, Frequency: 30
Term: next, Frequency: 30
Term: heard, Frequency: 30
Term: take, Frequency: 29
Term: wonder, Frequency: 28
Term: pleas, Frequency: 28
Term: might, Frequency: 28
Term: three, Frequency: 28
Term: caterpillar, Frequency: 28
Term: remark, Frequency: 28
Term: good, Frequency: 27
Term: poor, Frequency: 27
Term: without, Frequency: 26
Term: upon, Frequency: 26
Term: try, Frequency: 26
Term: cours, Frequency: 26
Term: shall, Frequency: 25
Term: rather, Frequency: 25
Term: soon, Frequency: 25
Term: awai, Frequency: 25
Term: find, Frequency: 25
Term: chang, Frequency: 25
Term: yet, Frequency: 25
Term: call, Frequency: 25
Term: took, Frequency: 24
Term: even, Frequency: 24
Term: garden, Frequency: 24
Term: grow, Frequency: 24
Term: sure, Frequency: 24
Term: ad, Frequency: 24
Term: hurri, Frequency: 23
Term: sort, Frequency: 23
Term: felt, Frequency: 23
Term: half, Frequency: 23
Term: mean, Frequency: 23
Term: anoth, Frequency: 22
Term: let, Frequency: 22
Term: juri, Frequency: 22
Term: happen, Frequency: 21
Term: wish, Frequency: 21
Term: question, Frequency: 21
Term: side, Frequency: 21
Term: cri, Frequency: 21
Term: till, Frequency: 21
Term: arm, Frequency: 21
Term: wait, Frequency: 21
Term: anyth, Frequency: 20
Term: end, Frequency: 20
Term: walk, Frequency: 20
Term: rememb, Frequency: 20
Term: eat, Frequency: 20
Term: ever, Frequency: 20
Term: howev, Frequency: 20
Term: open, Frequency: 20
Term: face, Frequency: 20
Term: speak, Frequency: 20
Term: repeat, Frequency: 20
Term: feet, Frequency: 19
Term: tri, Frequency: 19
Term: hous, Frequency: 19
Term: curiou, Frequency: 19
Term: sit, Frequency: 19
Term: old, Frequency: 19
Term: hear, Frequency: 18
Term: tea, Frequency: 18
Term: tabl, Frequency: 18
Term: enough, Frequency: 18
Term: someth, Frequency: 18
Term: finish, Frequency: 18
Term: soup, Frequency: 18
Term: court, Frequency: 18
Term: feel, Frequency: 17
Term: spoke, Frequency: 17
Term: perhap, Frequency: 17
Term: sat, Frequency: 17
Term: live, Frequency: 17
Term: bill, Frequency: 17
Term: pig, Frequency: 17
Term: ran, Frequency: 16
Term: close, Frequency: 16
Term: air, Frequency: 16
Term: leav, Frequency: 16
Term: bit, Frequency: 16
Term: low, Frequency: 16
Term: high, Frequency: 16
Term: inde, Frequency: 16
Term: hastili, Frequency: 16
Term: seen, Frequency: 15
Term: near, Frequency: 15
Term: idea, Frequency: 15
Term: gave, Frequency: 15
Term: set, Frequency: 15
Term: want, Frequency: 15
Term: done, Frequency: 15
Term: tree, Frequency: 15
Term: danc, Frequency: 15
Term: notic, Frequency: 14
Term: dinah, Frequency: 14
Term: answer, Frequency: 14
Term: certainli, Frequency: 14
Term: read, Frequency: 14
Term: size, Frequency: 14
